placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Lepelʹ (Belarus)	18705	http://geo-kima.org/place/18705	Lepelʹ (Belarus)	לפל (בלארוס)
Dąbrowa Tarnowska (Poland : Powiat)	18717	http://geo-kima.org/place/18717	Dąbrowa Tarnowska (Poland : Powiat)	דומברובה טרנובסקה (פולין : מחוז)
Belz (Ukraine)	18727	http://geo-kima.org/place/18727	Belz (Ukraine)	בלז (אוקראינה)
Kalinkavychy (Belarus)	18747	http://geo-kima.org/place/18747	Kalinkavychy (Belarus)	קלינקביץ (בלארוס)
Dieuze (France)	18750	http://geo-kima.org/place/18750	Dieuze (France)	דיאז (צרפת)
Aigina (Greece)	18760	http://geo-kima.org/place/18760	Aigina (Greece)	אגינה (יוון)
Goor (Netherlands)	18767	http://geo-kima.org/place/18767	Goor (Netherlands)	חור (הולנד)
Lemberg (Austria)	18777	http://geo-kima.org/place/18777	Lemberg (Austria)	למברג (אוסטריה)
Mohyliv-Podilʹsʹkyĭ (Ukraine)	18781	http://geo-kima.org/place/18781	Mohyliv-Podilʹsʹkyĭ (Ukraine)	מויליב-פודילסקי (אוקראינה)
Shumi︠a︡chi (Russia)	18785	http://geo-kima.org/place/18785	Shumi︠a︡chi (Russia)	שומיאצ'י (רוסיה)
Mielnik (Poland)	18792	http://geo-kima.org/place/18792	Mielnik (Poland)	מילניק (פולין)
Moscow (Russia)	188	http://geo-kima.org/place/188	Moscow (Russia)	מוסקבה (רוסיה)
Siret (Romania)	18814	http://geo-kima.org/place/18814	Siret (Romania)	סירט (רומניה)
Vatra Dornei (Romania)	18816	http://geo-kima.org/place/18816	Vatra Dornei (Romania)	וטרה דורני (רומניה)
Darabani (Romania)	18831	http://geo-kima.org/place/18831	Darabani (Romania)	דרבן (רומניה)
Elberfeld (Germany)	18850	http://geo-kima.org/place/18850	Elberfeld (Germany)	אלברפלד (גרמניה)
Roxbury (Boston, Mass.)	18851	http://geo-kima.org/place/18851	Roxbury (Boston, Mass.)	רוקסברי (בוסטון, מסצ'וסטס)
Sejny (Poland)	18856	http://geo-kima.org/place/18856	Sejny (Poland)	סיני (פולין)
Dabrowa Gornicza (Poland)	18858	http://geo-kima.org/place/18858	Dabrowa Gornicza (Poland)	דומברובה גורניצ'ה (פולין)
Gura Humorului (Romania)	18861	http://geo-kima.org/place/18861	Gura Humorului (Romania)	גורה הומורה (רומניה)
Andes	1887	http://geo-kima.org/place/1887	Andes	הרי האנדס
Stochov (Czech Republic)	18872	http://geo-kima.org/place/18872	Stochov (Czech Republic)	סטוכוב (צ'כיה)
Radymno (Poland)	18897	http://geo-kima.org/place/18897	Radymno (Poland)	רדים (פולין)
Ma'agan (Israel)	189	http://geo-kima.org/place/189	Ma'agan (Israel)	מעגן (ישראל)
Klimontów (Poland)	18908	http://geo-kima.org/place/18908	Klimontów (Poland)	קלימונטוב (פולין)
Bershadʹ (Ukraine)	18919	http://geo-kima.org/place/18919	Bershadʹ (Ukraine)	ברשד (אוקראינה)
Łobżenica (Poland)	18920	http://geo-kima.org/place/18920	Łobżenica (Poland)	לובזניצ'ה (פולין)
Pilica (Poland)	18922	http://geo-kima.org/place/18922	Pilica (Poland)	פיליקה (פולין)
Rechnitz (Austria)	18925	http://geo-kima.org/place/18925	Rechnitz (Austria)	רכניץ (אוסטריה)
Wola (Warsaw, Poland)	18926	http://geo-kima.org/place/18926	Wola (Warsaw, Poland)	וולה (ורשה, פולין)
Obertyn (Ukraine)	18945	http://geo-kima.org/place/18945	Obertyn (Ukraine)	אוברטין (אוקראינה)
Figuig (Morocco)	18948	http://geo-kima.org/place/18948	Figuig (Morocco)	פיגויג (מרוקו)
Tiznit (Morocco)	18950	http://geo-kima.org/place/18950	Tiznit (Morocco)	טיזניט (מרוקו)
Berezna (Chernihivsʹka oblastʹ, Ukraine)	18951	http://geo-kima.org/place/18951	Berezna (Chernihivsʹka oblastʹ, Ukraine)	ברז'נה (מחוז צ'רנוביץ, אוקראינה)
Úsov (Czech Republic)	18958	http://geo-kima.org/place/18958	Úsov (Czech Republic)	אוסזי (צ'כיה)
Chufut-Kale (Ukraine)	18962	http://geo-kima.org/place/18962	Chufut-Kale (Ukraine)	צ'ופוט קלעה (אוקראינה)
Jasło (Poland)	18992	http://geo-kima.org/place/18992	Jasło (Poland)	יסלו (פולין)
Kırklareli (Turkey)	18997	http://geo-kima.org/place/18997	Kırklareli (Turkey)	קירקלרלי (טורקיה)
Natsrat Illit (Israel)	19	http://geo-kima.org/place/19	Natsrat Illit (Israel)	נצרת עילית (ישראל)
Ma'agan Mikha'el (Israel)	190	http://geo-kima.org/place/190	Ma'agan Mikha'el (Israel)	מעגן מיכאל (ישראל)
Tykocin (Poland)	19001	http://geo-kima.org/place/19001	Tykocin (Poland)	טיקוצין (פולין)
Frumușica (Romania)	19005	http://geo-kima.org/place/19005	Frumușica (Romania)	פרומושיקה (רומניה)
Hendaye (France)	19022	http://geo-kima.org/place/19022	Hendaye (France)	אנדה (צרפת)
Orla (Poland)	19026	http://geo-kima.org/place/19026	Orla (Poland)	אורלה (פולין)
Schilde (Netherlands)	19030	http://geo-kima.org/place/19030	Schilde (Netherlands)	שילדה (הולנד)
Holešov (Czech Republic)	19039	http://geo-kima.org/place/19039	Holešov (Czech Republic)	הולשאו (צ'כיה)
Tyczyn (Rzeszów, Poland)	19047	http://geo-kima.org/place/19047	Tyczyn (Rzeszów, Poland)	טיצ'ין (רישא, פולין)
Lakhva (Belarus)	19050	http://geo-kima.org/place/19050	Lakhva (Belarus)	לחוה (בלארוס)
Kodeń (Poland)	19054	http://geo-kima.org/place/19054	Kodeń (Poland)	קודן (פולין)
Monroeville (Ala.)	19065	http://geo-kima.org/place/19065	Monroeville (Ala.)	מונרוויל (אלבמה)
Kamajai (Lithuania)	19088	http://geo-kima.org/place/19088	Kamajai (Lithuania)	קאמאי (ליטא)
Ma'oz Hayyim (Israel)	191	http://geo-kima.org/place/191	Ma'oz Hayyim (Israel)	מעוז חיים (ישראל)
Nesterov (Kaliningradskai︠a︡ oblastʹ, Russia)	19109	http://geo-kima.org/place/19109	Nesterov (Kaliningradskai︠a︡ oblastʹ, Russia)	נסטרוב (מחוז קלינינגרד, רוסיה)
Żychlin (Konin, Poland)	19112	http://geo-kima.org/place/19112	Żychlin (Konin, Poland)	זיכלין (קונין, פולין)
Lexington (Mass.)	19119	http://geo-kima.org/place/19119	Lexington (Mass.)	לקסינגטון (מסצ'וסטס)
Grabowiec (Poland)	19125	http://geo-kima.org/place/19125	Grabowiec (Poland)	גרבוביץ (פולין)
Kupiškis (Lithuania)	19131	http://geo-kima.org/place/19131	Kupiškis (Lithuania)	קופישוק (ליטא)
Starokosti︠a︡ntyniv (Ukraine)	19134	http://geo-kima.org/place/19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)
En Dor (Israel)	19136	http://geo-kima.org/place/19136	En Dor (Israel)	עין דור (ישראל)
Atamurat (Turkmenistan)	19148	http://geo-kima.org/place/19148	Atamurat (Turkmenistan)	אטאמוראט (טורקמניסטן)
Karkur (Israel)	19149	http://geo-kima.org/place/19149	Karkur (Israel)	כרכור (ישראל)
Goniądz (Poland)	19156	http://geo-kima.org/place/19156	Goniądz (Poland)	גוניונדז (פולין)
Pilzno (Poland)	19157	http://geo-kima.org/place/19157	Pilzno (Poland)	פילזנה (פולין)
Romanivka (Ukraine)	19167	http://geo-kima.org/place/19167	Romanivka (Ukraine)	רומנובקה (אוקראינה)
Busʹk (Ukraine)	19168	http://geo-kima.org/place/19168	Busʹk (Ukraine)	בוסק (אוקראינה)
Rexingen (Horb am Neckar, Germany)	19169	http://geo-kima.org/place/19169	Rexingen (Horb am Neckar, Germany)	רקסינגן (הורב אם נקאר, גרמניה)
Vidzy (Belarus)	19182	http://geo-kima.org/place/19182	Vidzy (Belarus)	וידז (בלארוס)
Lutomiersk (Poland)	19185	http://geo-kima.org/place/19185	Lutomiersk (Poland)	לוטומיירסק (פולין)
Pezinok (Slovakia)	19190	http://geo-kima.org/place/19190	Pezinok (Slovakia)	פזינוק (סלובקיה)
Kleczew (Poland)	19196	http://geo-kima.org/place/19196	Kleczew (Poland)	קלצף (פולין)
Krolevet︠s︡ʹ (Ukraine)	19203	http://geo-kima.org/place/19203	Krolevet︠s︡ʹ (Ukraine)	קרולבץ (אוקראינה)
Rokiškis (Lithuania)	19207	http://geo-kima.org/place/19207	Rokiškis (Lithuania)	רוקישקיס (ליטא)
Strakonice (Czech Republic)	19220	http://geo-kima.org/place/19220	Strakonice (Czech Republic)	סטרקוניצ'ה (צ'כיה)
Herrlingen (Blaustein, Germany)	19227	http://geo-kima.org/place/19227	Herrlingen (Blaustein, Germany)	הרלינגן (בלאושטיין, גרמניה)
Tovste (Ternopilʹsʹka oblastʹ, Ukraine)	19256	http://geo-kima.org/place/19256	Tovste (Ternopilʹsʹka oblastʹ, Ukraine)	טלוסטה (אוקראינה)
Āmol (Iran)	19257	http://geo-kima.org/place/19257	Āmol (Iran)	אמול (איראן)
Pasvalys (Lithuania)	19267	http://geo-kima.org/place/19267	Pasvalys (Lithuania)	פסווליס (ליטא)
Swarzędz (Poland)	19269	http://geo-kima.org/place/19269	Swarzędz (Poland)	שוורזנץ (פולין)
Turkistan (Kazakhstan)	19279	http://geo-kima.org/place/19279	Turkistan (Kazakhstan)	טורקיסטן (קזחסטן)
Oleyëvo-Korolëvka (Ukraine)	19287	http://geo-kima.org/place/19287	Oleyëvo-Korolëvka (Ukraine)	אוליאבו-קורולבקה (אוקראינה)
Radomysl Wielki (Poland)	19288	http://geo-kima.org/place/19288	Radomysl Wielki (Poland)	רדומישל (פולין)
Barguzin (Russia)	19292	http://geo-kima.org/place/19292	Barguzin (Russia)	ברגוזין (רוסיה)
Kefar Yehoshu'a (Israel)	19294	http://geo-kima.org/place/19294	Kefar Yehoshu'a (Israel)	כפר יהושוע (ישראל)
Kražiai (Lithuania)	19299	http://geo-kima.org/place/19299	Kražiai (Lithuania)	קרז (ליטא)
Radashkovichy (Belarus)	19300	http://geo-kima.org/place/19300	Radashkovichy (Belarus)	רדושקוביצה (בלארוס)
Zarzis (Tunisia)	19302	http://geo-kima.org/place/19302	Zarzis (Tunisia)	זרזיס (תוניסיה)
Chashniki (Belarus)	19319	http://geo-kima.org/place/19319	Chashniki (Belarus)	צ'שניקי (בלארוס)
Minusio (Switzerland)	19320	http://geo-kima.org/place/19320	Minusio (Switzerland)	מניוסיו (שווייץ)
Berezne (Ukraine)	19331	http://geo-kima.org/place/19331	Berezne (Ukraine)	ברז'נה (אוקראינה)
Berezyne (Odesʹka oblastʹ, Ukraine)	19332	http://geo-kima.org/place/19332	Berezyne (Odesʹka oblastʹ, Ukraine)	ברזנה (מחוז אודסק, אוקראינה)
Borshchiv (Ternopilʹsʹka oblastʹ, Ukraine)	19333	http://geo-kima.org/place/19333	Borshchiv (Ternopilʹsʹka oblastʹ, Ukraine)	בורשניב (טרנופיל, אוקראינה)
Shepetivka (Ukraine)	19334	http://geo-kima.org/place/19334	Shepetivka (Ukraine)	שפטובקה (אוקראינה)
Kaz︠h︡an-Haradok (Belarus)	19337	http://geo-kima.org/place/19337	Kaz︠h︡an-Haradok (Belarus)	קוז'נגורודוק (בלארוס)
Bánovce nad Bebravou (Slovakia)	19343	http://geo-kima.org/place/19343	Bánovce nad Bebravou (Slovakia)	באנוביצה נאד ברבראבו (סלובקיה)
Makow Mazowiecki (Poland)	19362	http://geo-kima.org/place/19362	Makow Mazowiecki (Poland)	מקוב מזוביצק (פולין)
Kirman (Iran)	19365	http://geo-kima.org/place/19365	Kirman (Iran)	קרמן (איראן)
Tovačov (Czech Republic)	19371	http://geo-kima.org/place/19371	Tovačov (Czech Republic)	טובקוב (צ'כיה)
Călărași (Moldova : Raionul)	19386	http://geo-kima.org/place/19386	Călărași (Moldova : Raionul)	קאלארשי (מולדובה : מחוז)
Telenești (Moldova : Raionul)	19388	http://geo-kima.org/place/19388	Telenești (Moldova : Raionul)	טלנשטי (מולדובה : מחוז)
Ma'ale Hahamisha (Israel)	194	http://geo-kima.org/place/194	Ma'ale Hahamisha (Israel)	מעלה החמישה (ישראל)
Pastavy (Belarus)	19432	http://geo-kima.org/place/19432	Pastavy (Belarus)	פסטאווי (בלארוס)
Kam'i︠a︡nka Buzʹka (Ukraine)	19435	http://geo-kima.org/place/19435	Kam'i︠a︡nka Buzʹka (Ukraine)	קמיאנקה-בוזקה (אוקראינה)
Bussum (Netherlands)	19453	http://geo-kima.org/place/19453	Bussum (Netherlands)	בוסום (הולנד)
Bruchhausen (Neuwied, Germany)	19454	http://geo-kima.org/place/19454	Bruchhausen (Neuwied, Germany)	ברוכהאוזן (נויוויד, גרמניה)
Dzi︠a︡tlava (Belarus)	19469	http://geo-kima.org/place/19469	Dzi︠a︡tlava (Belarus)	דזיאטלבה (בלארוס)
Kilii︠a︡ (Ukraine)	19470	http://geo-kima.org/place/19470	Kilii︠a︡ (Ukraine)	קילייה (אוקראינה)
Lubraniec (Poland)	19471	http://geo-kima.org/place/19471	Lubraniec (Poland)	לובראנייץ (פולין)
Hajdúhadház (Hungary)	19479	http://geo-kima.org/place/19479	Hajdúhadház (Hungary)	האדהאז (הונגריה)
Troškūnai (Lithuania)	19483	http://geo-kima.org/place/19483	Troškūnai (Lithuania)	טרוסקאי (ליטא)
Raguva (Lithuania)	19486	http://geo-kima.org/place/19486	Raguva (Lithuania)	רוגבה (ליטא)
Bodrum (Turkey)	19497	http://geo-kima.org/place/19497	Bodrum (Turkey)	בודרום (טורקיה)
Soho (London, England)	19507	http://geo-kima.org/place/19507	Soho (London, England)	סוהו (לונדון, אנגליה)
Far Rockaway (New York, N.Y.)	19508	http://geo-kima.org/place/19508	Far Rockaway (New York, N.Y.)	פאר רוקאווי (ניו יורק, ניו יורק)
Zduńska Wola (Poland)	19520	http://geo-kima.org/place/19520	Zduńska Wola (Poland)	זדונסקה-וולה (פולין)
Lenin (Z︠H︡ytkavitski rai︠o︡n, Belarus)	19528	http://geo-kima.org/place/19528	Lenin (Z︠H︡ytkavitski rai︠o︡n, Belarus)	לנין (בלארוס)
Novohrad-Volynsʹkyĭ (Ukraine)	19544	http://geo-kima.org/place/19544	Novohrad-Volynsʹkyĭ (Ukraine)	נובוהרד-ולינסקי (אוקראינה)
Brańsk (Poland)	19550	http://geo-kima.org/place/19550	Brańsk (Poland)	ברינסק (פולין)
Chelsea (Manhattan, New York, N.Y.)	19555	http://geo-kima.org/place/19555	Chelsea (Manhattan, New York, N.Y.)	צ'לסי (מנהטן, ניו יורק)
Falenica (Warsaw, Poland)	19559	http://geo-kima.org/place/19559	Falenica (Warsaw, Poland)	פלניץ (פולין)
Krāslava (Latvia)	19566	http://geo-kima.org/place/19566	Krāslava (Latvia)	קרסלבה (לטביה)
Preiļi (Latvia)	19567	http://geo-kima.org/place/19567	Preiļi (Latvia)	פריילי (לטביה)
Sūhāj (Egypt)	19570	http://geo-kima.org/place/19570	Sūhāj (Egypt)	סוהאג (מצרים)
Gulpāyigān (Iran)	19575	http://geo-kima.org/place/19575	Gulpāyigān (Iran)	גולפאיגאן (איראן)
Bychawa (Poland)	19584	http://geo-kima.org/place/19584	Bychawa (Poland)	ביחוה (פולין)
Sarata (Ukraine)	19588	http://geo-kima.org/place/19588	Sarata (Ukraine)	סאראטה (אוקראינה)
Skalat (Ukraine)	19596	http://geo-kima.org/place/19596	Skalat (Ukraine)	סקלט (אוקראינה)
Ma'anit (Israel)	196	http://geo-kima.org/place/196	Ma'anit (Israel)	מענית (ישראל)
Majorca (Spain)	19607	http://geo-kima.org/place/19607	Majorca (Spain)	מיורקה (ספרד)
Majd al-Kurum (Israel)	19615	http://geo-kima.org/place/19615	Majd al-Kurum (Israel)	מג'ד אל-כרום (ישראל)
Velyki Mosty (Ukraine)	19621	http://geo-kima.org/place/19621	Velyki Mosty (Ukraine)	וילקה מוסטי (אוקראינה)
Žeimelis (Lithuania)	19622	http://geo-kima.org/place/19622	Žeimelis (Lithuania)	זוימל (ליטא)
Almora (India)	19623	http://geo-kima.org/place/19623	Almora (India)	אלמורה (הודו)
Be'eri (Israel)	19624	http://geo-kima.org/place/19624	Be'eri (Israel)	בארי (ישראל)
Greenwich Village (New York, N.Y.)	19627	http://geo-kima.org/place/19627	Greenwich Village (New York, N.Y.)	גריניץ' וילג' (ניו יורק, ניו יורק)
Putney (London, England)	19637	http://geo-kima.org/place/19637	Putney (London, England)	פאטני (לונדון, אנגליה)
Rusovce (Bratislava, Slovakia)	19639	http://geo-kima.org/place/19639	Rusovce (Bratislava, Slovakia)	רוסובצה (ברטיסלבה, סלובקיה)
Washington Heights (New York, N.Y.)	19650	http://geo-kima.org/place/19650	Washington Heights (New York, N.Y.)	וושינגטון הייטס (ניו יורק, ניו יורק)
Indura (Belarus)	19671	http://geo-kima.org/place/19671	Indura (Belarus)	אמדור (בלארוס)
Asia, Central	1968	http://geo-kima.org/place/1968	Asia, Central	אסיה התיכונה
Mefalsim (Israel)	197	http://geo-kima.org/place/197	Mefalsim (Israel)	מפלסים (ישראל)
Haradzets (Kobrynski rai︠o︡n, Belarus)	19729	http://geo-kima.org/place/19729	Haradzets (Kobrynski rai︠o︡n, Belarus)	הורודץ (מחוז קוברין, בלארוס)
Mez︠h︡yrichchi︠a︡ (Ukraine)	19737	http://geo-kima.org/place/19737	Mez︠h︡yrichchi︠a︡ (Ukraine)	מזריץ' (אוקראינה)
Hoshcha (Ukraine)	19751	http://geo-kima.org/place/19751	Hoshcha (Ukraine)	הושץ' (אוקראינה)
Krasne (Odesʹka oblastʹ, Ukraine)	19756	http://geo-kima.org/place/19756	Krasne (Odesʹka oblastʹ, Ukraine)	קרסנה (מחוז אודסק, אוקראינה)
Goddelau (Germany)	19766	http://geo-kima.org/place/19766	Goddelau (Germany)	גודלאו (גרמניה)
Kytaĭhorod (Trosti︠a︡net︠s︡ʹkyĭ raĭon, Vinnyt︠s︡ʹka oblastʹ, Ukraine)	19776	http://geo-kima.org/place/19776	Kytaĭhorod (Trosti︠a︡net︠s︡ʹkyĭ raĭon, Vinnyt︠s︡ʹka oblastʹ, Ukraine)	קייטייהורוד (מחוז טרוסטיאנץ, אוקראינה)
Afikpo (Nigeria)	19791	http://geo-kima.org/place/19791	Afikpo (Nigeria)	אפיקפו (ניגריה)
Kavarskas (Lithuania)	19793	http://geo-kima.org/place/19793	Kavarskas (Lithuania)	קוברסק (ליטא)
Matsuva (Israel)	198	http://geo-kima.org/place/198	Matsuva (Israel)	מצובה (ישראל)
I︠A︡bluniv (Halyt︠s︡ʹkyĭ raĭon, Ukraine)	19809	http://geo-kima.org/place/19809	I︠A︡bluniv (Halyt︠s︡ʹkyĭ raĭon, Ukraine)	יבלונוב (אוקראינה)
Orlovo (Altaĭskiĭ kraĭ, Russia)	19835	http://geo-kima.org/place/19835	Orlovo (Altaĭskiĭ kraĭ, Russia)	אורלובן (מחוז אלטייה, רוסיה)
Chervonohrad (Ukraine)	19848	http://geo-kima.org/place/19848	Chervonohrad (Ukraine)	קריסנפוליו (אוקראינה)
Samoa	19878	http://geo-kima.org/place/19878	Samoa	סמואה
Larvik (Norway)	19879	http://geo-kima.org/place/19879	Larvik (Norway)	לרביק (נורבגיה)
Krzeszów (Jelenia Góra, Poland)	19886	http://geo-kima.org/place/19886	Krzeszów (Jelenia Góra, Poland)	קז'אשוב (פולין)
Pinner (London, England)	19896	http://geo-kima.org/place/19896	Pinner (London, England)	פינר (לונדון, אנגליה)
Novozybkov (Russia)	19897	http://geo-kima.org/place/19897	Novozybkov (Russia)	נובוזיבקוב (רוסיה)
Panemunė (Kaunas, Lithuania)	19898	http://geo-kima.org/place/19898	Panemunė (Kaunas, Lithuania)	פונימון (קובנה, ליטא)
Rajgród (Poland)	19901	http://geo-kima.org/place/19901	Rajgród (Poland)	רייגרוד (פולין)
Vuzlove (Zakarpatsʹka oblastʹ, Ukraine)	19906	http://geo-kima.org/place/19906	Vuzlove (Zakarpatsʹka oblastʹ, Ukraine)	ווזלובה (מחוז זקרפטיה, אוקראינה)
